,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency,gender
11,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,22.99,22.99,FALSE,USD,Women
12,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,23.99,23.99,TRUE,USD,Women
13,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,19.99,19.99,TRUE,USD,Women
14,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,22.99,22.99,TRUE,USD,Women
15,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,75.0,75.0,FALSE,USD,Women
16,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,29.99,29.99,TRUE,USD,Women
17,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,50.99,50.99,TRUE,USD,Women
18,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,64.95,64.95,FALSE,USD,Women
30,AVpfAsxFLJeJML430Z-E,New Balance,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,42.99,42.99,TRUE,USD,Women
31,AVpfAsxFLJeJML430Z-E,New Balance,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,110.0,110.0,FALSE,USD,Women
34,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,13.99,13.99,TRUE,USD,Women
35,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,8.99,8.99,TRUE,USD,Women
36,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,89.0,89.0,FALSE,USD,Women
43,AVpfDvKDilAPnD_xUBPs,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Red,70.0,70.0,FALSE,USD,Women
44,AVpfDvKDilAPnD_xUBPs,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Red,15.99,15.99,TRUE,USD,Women
62,AVpe6_gIilAPnD_xQ7fE,Allegra K,"Clothing,Shoes,Women's Shoes,Women's Dress Shoes",Not Available,28.76,28.76,TRUE,USD,Women
63,AVpe6_gIilAPnD_xQ7fE,Allegra K,"Clothing,Shoes,Women's Shoes,Women's Dress Shoes",Not Available,57.99,57.99,FALSE,USD,Women
65,AVpfJFt8ilAPnD_xV2E4,Allegra K,"Women's Dress Shoes,Shoes,Women's Shoes,Clothing",Brown,34.79,34.79,TRUE,USD,Women
66,AVpfJFt8ilAPnD_xV2E4,Allegra K,"Women's Dress Shoes,Shoes,Women's Shoes,Clothing",Brown,69.99,69.99,FALSE,USD,Women
73,AVpfErj_1cnluZ0-dT5t,Easy Spirit,"Women's Sandals,Shoes,Women's Shoes,Clothing","BlkBlk,Black",39.39,39.39,FALSE,USD,Women
74,AVpe7D0jLJeJML43yYsZ,Unique Bargains,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,34.79,34.79,TRUE,USD,Women
75,AVpe7D0jLJeJML43yYsZ,Unique Bargains,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,69.99,69.99,FALSE,USD,Women
94,AVpfEsduLJeJML431ywi,Nike,"Women's Athletic Shoes,Shoes,Clothing,Women's Shoes",Not Available,88.0,88.0,FALSE,USD,Women
97,AVpfI2BHLJeJML433M9Z,Allegra K,"Juniors Blazers, Jackets & Vests,All Juniors' Clothing,Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Juniors Clothing,Women's Blazers, Jackets & Vests",Not Available,50.99,50.99,FALSE,USD,Women
98,AVpfI2BHLJeJML433M9Z,Allegra K,"Juniors Blazers, Jackets & Vests,All Juniors' Clothing,Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Juniors Clothing,Women's Blazers, Jackets & Vests",Not Available,24.99,24.99,TRUE,USD,Women
126,AVpfCLnl1cnluZ0-cdTI,MUK LUKS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Tan,55.44,55.44,FALSE,USD,Women
134,AVpe8h0DilAPnD_xRe3b,Nike,"Clothing, Shoes & Accessories,Athletic Apparel,Women's Clothing",Blue,9.5,9.5,FALSE,USD,Women
135,AVpe8h0DilAPnD_xRe3b,Nike,"Clothing, Shoes & Accessories,Athletic Apparel,Women's Clothing",Blue,15.5,15.5,FALSE,USD,Women
136,AVpe8h0DilAPnD_xRe3b,Nike,"Clothing, Shoes & Accessories,Athletic Apparel,Women's Clothing",Blue,31.95,31.95,FALSE,USD,Women
148,AVpfCgim1cnluZ0-ckb7,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,49.43,49.43,FALSE,USD,Women
192,AVpfKiUG1cnluZ0-fSg4,MUK LUKS,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,44.94,44.94,TRUE,USD,Women
193,AVpfKiUG1cnluZ0-fSg4,MUK LUKS,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,47.0,47.0,FALSE,USD,Women
194,AVpfKiUG1cnluZ0-fSg4,MUK LUKS,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,35.6,35.6,TRUE,USD,Women
195,AVpfKiUG1cnluZ0-fSg4,MUK LUKS,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,49.99,49.99,FALSE,USD,Women
196,AVpfKiUG1cnluZ0-fSg4,MUK LUKS,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,38.78,38.78,TRUE,USD,Women
258,AVpfJyEzLJeJML433g_j,New Balance,"Clothing, Shoes & Accessories,Women's Shoes,Athletic",Multi-Color,49.99,49.99,FALSE,USD,Women
281,AVpfMJeOilAPnD_xW2m5,TOMS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Off-White,52.87,52.87,FALSE,USD,Women
282,AVpfMJeOilAPnD_xW2m5,TOMS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Off-White,51.79,51.79,FALSE,USD,Women
283,AVpfMIVEilAPnD_xW2PJ,Nine West,"Clothing,Shoes,Women's Shoes,Women's Sandals",Light Natural Leather,47.04,47.04,FALSE,USD,Women
284,AVpfFOMiLJeJML431-x0,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Multicolor,42.99,42.99,TRUE,USD,Women
285,AVpfFOMiLJeJML431-x0,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Multicolor,89.0,89.0,FALSE,USD,Women
312,AVpfAnY41cnluZ0-b5hb,New Balance,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Gray,47.99,47.99,FALSE,USD,Women
326,AVpfCVM9LJeJML430_Jc,New Balance,"Athletic,Clothing, Shoes & Accessories,Women's Shoes",Gray,13.99,13.99,FALSE,USD,Women
373,AVpfL83AilAPnD_xWybo,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Multicolor,120.0,120.0,FALSE,USD,Women
374,AVpfL83AilAPnD_xWybo,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Multicolor,69.99,69.99,TRUE,USD,Women
391,AVpfDuWgilAPnD_xUA9D,TOMS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Cheetah Suede,81.38,81.38,FALSE,USD,Women
393,AVpfCCNyLJeJML4304iD,TOMS,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes",Multicolor,48.58,48.58,FALSE,USD,Women
394,AVpfCCNyLJeJML4304iD,TOMS,"Women's Casual Shoes,Shoes,Clothing,Women's Shoes",Multicolor,51.55,51.55,FALSE,USD,Women
397,AVpe7vAlLJeJML43yoQ_,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",Not Available,136.84,136.84,FALSE,USD,Women
398,AVpe7vAlLJeJML43yoQ_,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear Accessories,Men's Workwear & Uniforms,Office Safety & Security",Not Available,150.64,150.64,FALSE,USD,Women
413,AVpe_4Lw1cnluZ0-bold,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear & Uniforms,Men's Workwear Accessories,Office Safety & Security",Not Available,100.47,100.47,FALSE,USD,Women
414,AVpe_4Lw1cnluZ0-bold,Superior Glove Works,"Men's Work Gloves,Power Tools,Safety Apparel,Women's Workwear & Uniforms,Safety & Shop Gear,Workwear & Uniforms,Hand Tools,Clothing,Tools,Men's Clothing,Office Supplies,Women's Clothing,Women's Work Gloves,Gloves,Women's Workwear Accessories,Clothing, Shoes & Jewelry,Men's Workwear & Uniforms,Men's Workwear Accessories,Office Safety & Security",Not Available,91.43,91.43,TRUE,USD,Women
428,AVpfLHhJLJeJML4338-b,Ralph Lauren,"Women,Shoes,Boots",Black,195.0,195.0,FALSE,USD,Women
455,AVpfDPssLJeJML431SO5,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Natural Synthetic,Pink Synthetic",47.95,47.95,FALSE,USD,Women
456,AVpfDQMgilAPnD_xT2c0,Nike,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,150.0,150.0,FALSE,USD,Women
457,AVpfDQMgilAPnD_xT2c0,Nike,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Black,94.99,94.99,TRUE,USD,Women
477,AVpfDr__ilAPnD_xUAJK,Nike,"Running Shoes,Women's Running Shoes,Running Gear,Fitness & Exercise Equipment,Athletic & Running Shoes,Women's Shoes",Not Available,75.0,75.0,FALSE,USD,Women
495,AVpe8djailAPnD_xRdT7,Unique Bargains,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Beige,29.4,29.4,FALSE,USD,Women
502,AVpfD6cLilAPnD_xUFMe,Allegra K,"Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",Not Available,7.57,7.57,TRUE,USD,Women
503,AVpfD6cLilAPnD_xUFMe,Allegra K,"Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",Not Available,7.99,7.99,TRUE,USD,Women
504,AVpfD6cLilAPnD_xUFMe,Allegra K,"Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",Not Available,15.99,15.99,FALSE,USD,Women
505,AVpfD6cLilAPnD_xUFMe,Allegra K,"Women's Hats,Bags & Accessories,Clothing, Shoes & Jewelry,Women's Accessories",Not Available,16.99,16.99,FALSE,USD,Women
512,AVpe8XAbLJeJML43y2fp,Allegra K,"Juniors Blazers, Jackets & Vests,All Juniors' Clothing,Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Juniors Clothing,Women's Blazers, Jackets & Vests",Not Available,20.99,20.99,TRUE,USD,Women
513,AVpe8XAbLJeJML43y2fp,Allegra K,"Juniors Blazers, Jackets & Vests,All Juniors' Clothing,Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Juniors Clothing,Women's Blazers, Jackets & Vests",Not Available,42.99,42.99,FALSE,USD,Women
516,AVpe9pRILJeJML43zUoi,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Not Available,34.99,34.99,TRUE,USD,Women
517,AVpe9pRILJeJML43zUoi,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Not Available,46.98,46.98,TRUE,USD,Women
518,AVpe9pRILJeJML43zUoi,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Not Available,80.0,80.0,FALSE,USD,Women
541,AVpfEMwALJeJML431n28,MUK LUKS,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Black,Brown",85.0,85.0,FALSE,USD,Women
542,AVpfEMwALJeJML431n28,MUK LUKS,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Black,Brown",52.88,52.88,TRUE,USD,Women
543,AVpfEMwALJeJML431n28,MUK LUKS,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Black,Brown",92.95,92.95,FALSE,USD,Women
550,AVpe9fl31cnluZ0-aywA,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Purple,71.98,71.98,TRUE,USD,Women
551,AVpe9fl31cnluZ0-aywA,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Purple,75.0,75.0,FALSE,USD,Women
552,AVpe9fl31cnluZ0-aywA,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Purple,31.99,31.99,TRUE,USD,Women
553,AVpe9fl31cnluZ0-aywA,New Balance,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Purple,59.99,59.99,TRUE,USD,Women
574,AVpfECyXilAPnD_xUIN3,Reebok,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,60.0,60.0,FALSE,USD,Women
575,AVpfECyXilAPnD_xUIN3,Reebok,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,26.99,26.99,TRUE,USD,Women
606,AVpe90gjLJeJML43zYwB,Nine West,"Clothing,Shoes,Women's Shoes,Women's Dress Shoes","Namu,Bk",29.99,29.99,FALSE,USD,Women
612,AVpfNqbuLJeJML434yUs,adidas,"Athletic & Running Shoes,Women's Shoes,Slides & Sandals",Not Available,30.0,30.0,FALSE,USD,Women
617,AVpfEMwHLJeJML431n3B,New Balance,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,53.98,53.98,TRUE,USD,Women
618,AVpfEMwHLJeJML431n3B,New Balance,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,65.0,65.0,FALSE,USD,Women
643,AVpe-0DFLJeJML43zvV9,Easy Spirit,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes","Black Multi Fabric,Brown,Multi,Gold",68.95,68.95,FALSE,USD,Women
644,AVpe-0DFLJeJML43zvV9,Easy Spirit,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes","Black Multi Fabric,Brown,Multi,Gold",38.02,38.02,TRUE,USD,Women
645,AVpe-0F4LJeJML43zvWi,Ralph Lauren,"Ballets, Flats & Sneakers,Women,Shoes","Black,Turquoise,Pink,Navy",49.0,49.0,FALSE,USD,Women
696,AVpe7HWd1cnluZ0-Z7X7,VANS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,51.99,51.99,TRUE,USD,Women
697,AVpe7HWd1cnluZ0-Z7X7,VANS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,20.99,20.99,FALSE,USD,Women
698,AVpe7HWd1cnluZ0-Z7X7,VANS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,65.0,65.0,FALSE,USD,Women
724,AVpe_o7r1cnluZ0-bjP4,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Beige,44.99,44.99,TRUE,USD,Women
725,AVpe_o7r1cnluZ0-bjP4,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Beige,149.0,149.0,FALSE,USD,Women
731,AVpe66gdilAPnD_xQ5p4,Ralph Lauren,"Sandals,Women,Shoes","Black,Cuoio",375.0,375.0,FALSE,USD,Women
803,AVpfEqmTLJeJML431yGg,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes","L,Taup,M,Fb",75.0,75.0,FALSE,USD,Women
804,AVpfEqmTLJeJML431yGg,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes","L,Taup,M,Fb",25.99,25.99,TRUE,USD,Women
813,AVpe_xFN1cnluZ0-bmEg,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,71.99,71.99,TRUE,USD,Women
814,AVpe_xFN1cnluZ0-bmEg,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,120.0,120.0,FALSE,USD,Women
838,AVpe_3d11cnluZ0-boUh,Nike,"Running Shoes,Women's Running Shoes,Running Gear,Fitness & Exercise Equipment,Athletic & Running Shoes,Women's Shoes",Not Available,59.98,70.0,FALSE,USD,Women
850,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
851,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
852,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
853,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
854,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
855,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
856,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
857,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
858,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
859,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
860,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
861,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
862,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
863,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
864,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
865,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
866,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
867,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
868,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
869,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
870,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
871,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
872,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
873,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
874,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
875,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
876,AVpfMWqiLJeJML434XP1,Ralph Lauren,"Sandals,Women,Shoes","RL Gold,Black",750.0,750.0,FALSE,USD,Women
880,AVpe_FswLJeJML43z1tk,PUMA,"Clothing,Shoes,Women's Shoes,Women's Athletic Shoes",LimestoneSilverFluro Pink,59.9,59.9,FALSE,USD,Women
918,AVpfFs2c1cnluZ0-dq8-,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,46.98,46.98,TRUE,USD,Women
919,AVpfFs2c1cnluZ0-dq8-,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,79.0,79.0,FALSE,USD,Women
920,AVpfE7OO1cnluZ0-dZe8,Nine West,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Silver,59.0,59.0,FALSE,USD,Women
921,AVpfE7OO1cnluZ0-dZe8,Nine West,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Silver,22.99,22.99,TRUE,USD,Women
957,AVpfFuWxilAPnD_xUtve,Reebok,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,75.0,75.0,FALSE,USD,Women
958,AVpfFuWxilAPnD_xUtve,Reebok,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,16.99,16.99,TRUE,USD,Women
963,AVpfFB3fLJeJML4316UL,MUK LUKS,"Women's Slippers,Shoes,Women's Shoes,Clothing",Dark Blue,39.0,39.0,FALSE,USD,Women
965,AVpfE0gQLJeJML4311nI,MUK LUKS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,34.99,34.99,TRUE,USD,Women
966,AVpfE0gQLJeJML4311nI,MUK LUKS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,29.99,29.99,FALSE,USD,Women
967,AVpfE0gQLJeJML4311nI,MUK LUKS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,65.0,65.0,FALSE,USD,Women
968,AVpfE0gQLJeJML4311nI,MUK LUKS,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,29.99,29.99,TRUE,USD,Women
986,AVpfOOSgLJeJML434-RH,Nike,"Clothing,Shoes,Women's Shoes,Women's Athletic Shoes",Not Available,64.99,64.99,FALSE,USD,Women
1044,AVpfQxc1ilAPnD_xYXb2,TOMS,"Shoes,Women's Boots,Clothing,Women's Shoes","Dark Brown,Brown Sugar",89.25,89.25,FALSE,USD,Women
1049,AVpfF89SLJeJML432PBe,TOMS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,78.38,78.38,FALSE,USD,Women
1050,AVpfBR7s1cnluZ0-cIrJ,Nike,"Clothing,Shoes,Women's Shoes,Women's Athletic Shoes",Not Available,79.98,79.98,FALSE,USD,Women
1057,AVpfQ2Vn1cnluZ0-hXtn,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Green,109.0,109.0,FALSE,USD,Women
1058,AVpfQ2Vn1cnluZ0-hXtn,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Green,46.98,46.98,TRUE,USD,Women
1059,AVpfQ2Vn1cnluZ0-hXtn,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Green,36.99,36.99,TRUE,USD,Women
1060,AVpe8HqsLJeJML43yxKE,VANS,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Women's Shoes,All Women's Shoes",Multicolor,45.0,45.0,FALSE,USD,Women
1061,AVpe8HqsLJeJML43yxKE,VANS,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Women's Shoes,All Women's Shoes",Multicolor,39.98,39.98,TRUE,USD,Women
1062,AVpe8HqsLJeJML43yxKE,VANS,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Women's Shoes,All Women's Shoes",Multicolor,27.99,27.99,TRUE,USD,Women
1063,AVpe8HqsLJeJML43yxKE,VANS,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Women's Shoes,All Women's Shoes",Multicolor,35.0,35.0,FALSE,USD,Women
1073,AVpfEYnW1cnluZ0-dNhL,Reebok,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes",Citron,39.9,39.9,FALSE,USD,Women
1074,AVpfEYnW1cnluZ0-dNhL,Reebok,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes",Citron,39.9,39.9,TRUE,USD,Women
1076,AVpfOnLK1cnluZ0-goZs,VANS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,47.99,47.99,TRUE,USD,Women
1077,AVpfOnLK1cnluZ0-goZs,VANS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,60.0,60.0,FALSE,USD,Women
1117,AVpfGZcp1cnluZ0-d5-p,Ralph Lauren,"Women's Dress Shoes,Shoes,Clothing,Women's Shoes",Dark Brown,129.0,129.0,FALSE,USD,Women
1118,AVpfGZcp1cnluZ0-d5-p,Ralph Lauren,"Women's Dress Shoes,Shoes,Clothing,Women's Shoes",Dark Brown,65.04,65.04,TRUE,USD,Women
1120,AVpe-lfv1cnluZ0-bL4B,Ralph Lauren,"Women,Shoes,Boots",Black,1450.0,1450.0,FALSE,USD,Women
1142,AVpfO2ZQilAPnD_xXvCX,TOMS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes",Not Available,53.75,53.75,FALSE,USD,Women
1175,AVpfRia51cnluZ0-hl48,Allegra K,"Women's Leggings,Women's Clothing,Women's Pants & Leggings,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Not Available,14.99,14.99,FALSE,USD,Women
1176,AVpfRia51cnluZ0-hl48,Allegra K,"Women's Leggings,Women's Clothing,Women's Pants & Leggings,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Not Available,6.99,6.99,TRUE,USD,Women
1192,AVpfO9zMLJeJML435OB8,Reebok,"Women's Athletic Shoes,Shoes,Clothing,Women's Shoes",BlackBerry,39.99,39.99,FALSE,USD,Women
1194,AVpfO745ilAPnD_xXw73,VANS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,34.99,34.99,TRUE,USD,Women
1195,AVpfO745ilAPnD_xXw73,VANS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,65.0,65.0,FALSE,USD,Women
1217,AVpfRMEcilAPnD_xYf9d,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,62.99,62.99,TRUE,USD,Women
1218,AVpfRMEcilAPnD_xYf9d,Nine West,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Not Available,79.0,79.0,FALSE,USD,Women
1235,AVpfO--H1cnluZ0-gwVJ,Ralph Lauren,"Women,Shoes,Boots","Black,Brown",475.0,475.0,FALSE,USD,Women
1236,AVpfO--H1cnluZ0-gwVJ,Ralph Lauren,"Women,Shoes,Boots","Black,Brown",204.99,204.99,TRUE,USD,Women
