,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency,gender
2091,AVpfBH5GilAPnD_xTHwD,Nike,"Clothing, Shoes & Accessories,Men's Clothing,Athletic Apparel",Blue,24.95,24.95,false,USD,Men
2095,AVpfHm5RLJeJML432x8F,Reebok,"All Men's Shoes,Shoes,Men's Shoes,Clothing",WHITE RED,45.95,45.95,false,USD,Men
2102,AVpfHtyt1cnluZ0-eV6e,Nike,"Clothing,Shoes,Men's Shoes,Men's Athletic Shoes",Not Available,62.0,62.0,false,USD,Men
2103,AVpfHtyt1cnluZ0-eV6e,Nike,"Clothing,Shoes,Men's Shoes,Men's Athletic Shoes",Not Available,48.32,48.32,true,USD,Men
2107,AVpfTpeOLJeJML436uti,PUMA,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,49.9,49.9,false,USD,Men
2108,AVpe6wFBilAPnD_xQ12f,Nike,"Sporting Goods,Team Sports,Baseball & Softball,Clothing, Shoes & Accessories,Shoes & Cleats,Men's",White,49.45,49.45,false,USD,Men
2116,AVpfHu7VilAPnD_xVYgz,VANS,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing","Blackblue,Black Blue",64.99,64.99,false,USD,Men
2117,AVpfHu7VilAPnD_xVYgz,VANS,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing","Blackblue,Black Blue",34.99,34.99,true,USD,Men
2122,AVpfB3i11cnluZ0-cWKy,Nike,"Football,Clothing, Shoes & Accessories,Team Sports,Men,Shoes & Cleats,Sporting Goods",Maroonyellow gold,29.98,29.98,false,USD,Men
2128,AVpfH_GIilAPnD_xVd0D,PUMA,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",White,75.0,75.0,false,USD,Men
2129,AVpfH_GIilAPnD_xVd0D,PUMA,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",White,59.99,59.99,true,USD,Men
2130,AVpfH_GIilAPnD_xVd0D,PUMA,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",White,68.98,68.98,true,USD,Men
2131,AVpfTm_7LJeJML436t5P,Nike,"Sporting Goods,Team Sports,Baseball & Softball,Clothing, Shoes & Accessories,Batting Gloves,Men's",WhiteBlue,21.0,21.0,false,USD,Men
2132,AVpfTm_7LJeJML436t5P,Nike,"Sporting Goods,Team Sports,Baseball & Softball,Clothing, Shoes & Accessories,Batting Gloves,Men's",WhiteBlue,19.0,19.0,false,USD,Men
2133,AVpfTm_7LJeJML436t5P,Nike,"Sporting Goods,Team Sports,Baseball & Softball,Clothing, Shoes & Accessories,Batting Gloves,Men's",WhiteBlue,17.0,17.0,false,USD,Men
2134,AVpe67hAilAPnD_xQ6BX,New Balance,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,44.99,44.99,true,USD,Men
2135,AVpe67hAilAPnD_xQ6BX,New Balance,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,75.0,75.0,false,USD,Men
2148,AVpfBwbBLJeJML430yL3,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Not Available,59.51,59.51,false,USD,Men
2149,AVpfTgJ71cnluZ0-iN9w,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic,See more Nike Hyperfuse Supreme Sz 10.5 Cool Grey Atomi...",Not Available,74.95,74.95,false,USD,Men
