,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
14141,AVpfWsuAilAPnD_xaQ0E,Laredo,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Orange,89.99,89.99,true,USD
14142,AVpfWsuAilAPnD_xaQ0E,Laredo,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Orange,81.99,81.99,true,USD
14143,AVpfWsuAilAPnD_xaQ0E,Laredo,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Orange,93.98,93.98,true,USD
14144,AVpfXo0ALJeJML437_e-,Dupont,"Men's Boots,Shoes,Clothing, Shoes & Jewelry,Men's Shoes,Men's Work Shoes & Boots",,98.99,98.99,false,USD
14145,AVpfXo0ALJeJML437_e-,Dupont,"Men's Boots,Shoes,Clothing, Shoes & Jewelry,Men's Shoes,Men's Work Shoes & Boots",,101.24,101.24,false,USD
14146,AVpfXo0ALJeJML437_e-,Dupont,"Men's Boots,Shoes,Clothing, Shoes & Jewelry,Men's Shoes,Men's Work Shoes & Boots",,127.85,127.85,false,USD
14147,AVpf0rS81cnluZ0-r8Gh,BIOWORLD,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,28.85,28.85,true,USD
14148,AVpf0rS81cnluZ0-r8Gh,BIOWORLD,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,30.99,30.99,false,USD
14149,AVpf0rS81cnluZ0-r8Gh,BIOWORLD,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,55.00,55.00,false,USD
14150,AVpf0rS81cnluZ0-r8Gh,BIOWORLD,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,26.99,26.99,false,USD
14151,AVpfrKy4LJeJML43BofN,TOMS,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,98.00,98.00,false,USD
14152,AVpfrKy4LJeJML43BofN,TOMS,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Black,86.44,86.44,false,USD
14153,AVpf0u20ilAPnD_xi8Ns,Serengeti Eyewear,"Women's Sunglasses,Sunglasses,Walmart Vision Centers,Clothing, Shoes, Accessories,Health,Men's Sunglasses","Dark Tortoise,Shiny Dark Tortoise",80.94,80.94,false,USD
14154,AVpf0u20ilAPnD_xi8Ns,Serengeti Eyewear,"Women's Sunglasses,Sunglasses,Walmart Vision Centers,Clothing, Shoes, Accessories,Health,Men's Sunglasses","Dark Tortoise,Shiny Dark Tortoise",259.00,259.00,false,AUD
14155,AVpf0u20ilAPnD_xi8Ns,Serengeti Eyewear,"Women's Sunglasses,Sunglasses,Walmart Vision Centers,Clothing, Shoes, Accessories,Health,Men's Sunglasses","Dark Tortoise,Shiny Dark Tortoise",88.00,88.00,false,USD
14156,AVpf0u3u1cnluZ0-r9D3,Reebok,"All Men's Shoes,Shoes,Men's Shoes,Clothing",GreyBluePinkWhite,80.00,80.00,false,USD
14157,AVpf0WyJilAPnD_xi1Vr,Dan Post,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Sand,159.95,159.95,false,USD
14158,AVpfYkSp1cnluZ0-jzxY,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",White Leather,130.00,130.00,false,USD
14159,AVpfYkSp1cnluZ0-jzxY,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",White Leather,37.99,37.99,true,USD
14160,AVpfYkSp1cnluZ0-jzxY,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",White Leather,149.99,149.99,true,USD
14161,AVpfYkSp1cnluZ0-jzxY,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",White Leather,153.95,153.95,false,USD
14162,AVpfYkSp1cnluZ0-jzxY,Drew,"All Men's Shoes,Shoes,Men's Shoes,Clothing,Walking Shoes",White Leather,147.99,147.99,true,USD
