,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
4405,AVpfCSlbilAPnD_xTiXZ,Sam Edelman,"Clothing, Shoes & Accessories,Women's Shoes,Athletic",Black,13.99,13.99,FALSE,USD
4406,AVpfP5v9LJeJML435hZL,Bernie Mev.,"Clothing, Shoes & Accessories,Flats & Oxfords,Women's Shoes",Black,26.99,26.99,FALSE,USD
4407,AVpfCWDMLJeJML430_dJ,Roma Costume,"Clothing, Shoes & Accessories,Costumes, Reenactment, Theater,Women,Costumes",Multi-Color,63.19,63.19,FALSE,USD
4408,AVpfCWDMLJeJML430_dJ,Roma Costume,"Clothing, Shoes & Accessories,Costumes, Reenactment, Theater,Women,Costumes",Multi-Color,74.89,74.89,FALSE,USD
4409,AVpfCWlI1cnluZ0-chEi,UNBRNADED,"Clothing, Shoes & Accessories,Women's Handbags & Bags,Handbag Accessories",,12.99,12.99,FALSE,USD
4410,AVpfBLSP1cnluZ0-cGOc,Nike,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,60,60,FALSE,USD
4411,AVpfBLSP1cnluZ0-cGOc,Nike,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,22.99,22.99,TRUE,USD
4412,AVpfAwsKLJeJML430bVk,Ash City,"Women's Clothing,Women's Outerwear,All Women's Clothing,Clothing, Shoes & Jewelry,Women's Coats & Jackets,Clothing","Blue,Gray,Red",53.55,53.55,TRUE,USD
4413,AVpfAwsKLJeJML430bVk,Ash City,"Women's Clothing,Women's Outerwear,All Women's Clothing,Clothing, Shoes & Jewelry,Women's Coats & Jackets,Clothing","Blue,Gray,Red",58.55,58.55,FALSE,USD
4414,AVpfQ2Q0ilAPnD_xYZBS,Cole Haan,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,76.19,76.19,FALSE,USD
4415,AVpfAtfq1cnluZ0-b7s1,Rupert Sanderson,"Women's Sandals,Shoes,Clothing, Shoes & Jewelry,Women's Shoes",Beige,174.99,174.99,TRUE,USD
